neighborhood_name,neighborhood_clean,neighborhood_normalized,district,province,source,osm_type,lat,lon
19 Mayıs,19 mayıs,19 mayis,Aladağ,Adana,osm_overpass,suburb,36.9774268,35.3637886
2000 Evler,2000 evler,2000 evler,Aladağ,Adana,osm_overpass,suburb,37.0289578,35.2656922
Abacılar,abacılar,abacilar,Aladağ,Adana,osm_overpass,neighbourhood,37.0972102,35.1571727
Abdilli,abdilli,abdilli,Aladağ,Adana,osm_overpass,neighbourhood,37.3332623,35.231148
Abdiluşağı,abdiluşağı,abdilusagi,Aladağ,Adana,osm_overpass,neighbourhood,37.3138865,35.598557
Abdioğlu,abdioğlu,abdioglu,Aladağ,Adana,osm_overpass,quarter,36.9096872,35.5657486
Abdioğlu Cumhuriyet Mah.,abdioğlu cumhuriyet,abdioglu cumhuriyet,Aladağ,Adana,osm_overpass,suburb,36.9086652,35.5647977
Acıdere,acıdere,acidere,Aladağ,Adana,osm_overpass,suburb,36.9773106,35.5734772
Acıdere OSB,acıdere osb,acidere osb,Aladağ,Adana,osm_overpass,suburb,36.9695411,35.5961751
Adalet,adalet,adalet,Aladağ,Adana,osm_overpass,suburb,37.2615096,35.6629092
Ahmet Remzi Yüreğir,ahmet remzi yüreğir,ahmet remzi yuregir,Aladağ,Adana,osm_overpass,suburb,36.9971717,35.30375
Akdeniz,akdeniz,akdeniz,Aladağ,Adana,osm_overpass,suburb,36.7761733,35.7967353
Akkapı,akkapı,akkapi,Aladağ,Adana,osm_overpass,suburb,36.9645693,35.3077411
Akkoca,akkoca,akkoca,Aladağ,Adana,osm_overpass,neighbourhood,37.6061699,35.6210285
Akmaşat,akmaşat,akmasat,Aladağ,Adana,osm_overpass,neighbourhood,37.1786325,35.7308201
Akpınar,akpınar,akpinar,Aladağ,Adana,osm_overpass,suburb,37.5242457,35.402761
Aktaşalanı,aktaşalanı,aktasalani,Aladağ,Adana,osm_overpass,neighbourhood,38.3542087,36.2728774
Akyuva,akyuva,akyuva,Aladağ,Adana,osm_overpass,suburb,36.780647,35.8076391
Akıncılar,akıncılar,akincilar,Aladağ,Adana,osm_overpass,suburb,36.9977544,35.3522872
Aliağalar,aliağalar,aliagalar,Aladağ,Adana,osm_overpass,neighbourhood,37.3240715,35.7909898
Alidede,alidede,alidede,Aladağ,Adana,osm_overpass,suburb,36.9818835,35.3261947
Alifakılı,alifakılı,alifakili,Aladağ,Adana,osm_overpass,neighbourhood,37.5477928,35.6935501
Altıocak,altıocak,altiocak,Aladağ,Adana,osm_overpass,suburb,37.0479264,35.8166872
Anadolu,anadolu,anadolu,Aladağ,Adana,osm_overpass,suburb,36.9795181,35.352888
Arapismaildamı Yaylası,arapismaildamı yaylası,arapismaildami yaylasi,Aladağ,Adana,osm_overpass,neighbourhood,38.03705,35.96136
Arslanpaşa,arslanpaşa,arslanpasa,Aladağ,Adana,osm_overpass,suburb,37.4459481,35.8195545
Atakent,atakent,atakent,Aladağ,Adana,osm_overpass,suburb,36.9915847,35.3715133
Atatürk,atatürk,ataturk,Aladağ,Adana,osm_overpass,suburb,37.0254387,35.8097743
Avluk,avluk,avluk,Aladağ,Adana,osm_overpass,neighbourhood,37.7000699,35.75037
Ayas,ayas,ayas,Aladağ,Adana,osm_overpass,suburb,36.7688293,35.7903853
Aydemiroğlu,aydemiroğlu,aydemiroglu,Aladağ,Adana,osm_overpass,suburb,37.0330628,35.8153308
Aydınlar,aydınlar,aydinlar,Aladağ,Adana,osm_overpass,neighbourhood,36.7369233,34.9904284
Aydınlı,aydınlı,aydinli,Aladağ,Adana,osm_overpass,neighbourhood,37.3249487,35.211364
Aynalıçeşme,aynalıçeşme,aynalicesme,Aladağ,Adana,osm_overpass,neighbourhood,37.8657319,36.0378814
Ağcakise Yaylası,ağcakise yaylası,agcakise yaylasi,Aladağ,Adana,osm_overpass,neighbourhood,37.5370084,35.4255362
Ağlıboğaz,ağlıboğaz,aglibogaz,Aladağ,Adana,osm_overpass,suburb,37.473585,35.8348997
Ağpınar,ağpınar,agpinar,Aladağ,Adana,osm_overpass,neighbourhood,38.3664107,36.2438992
Aşağı Kayhan,aşağı kayhan,asagi kayhan,Aladağ,Adana,osm_overpass,neighbourhood,37.3763861,35.8267201
Aşağıyörükler,aşağıyörükler,asagiyorukler,Aladağ,Adana,osm_overpass,suburb,37.2789871,35.0648146
Bahçelievler,bahçelievler,bahcelievler,Aladağ,Adana,osm_overpass,suburb,36.9660094,35.3583812
Bahçeşehir,bahçeşehir,bahcesehir,Aladağ,Adana,osm_overpass,suburb,37.0289723,35.243785
Balcalı,balcalı,balcali,Aladağ,Adana,osm_overpass,suburb,37.0544136,35.3648913
Barbaros,barbaros,barbaros,Aladağ,Adana,osm_overpass,suburb,36.9677924,35.3225898
Barış,barış,baris,Aladağ,Adana,osm_overpass,suburb,37.0039236,35.2758979
Bağlar,bağlar,baglar,Aladağ,Adana,osm_overpass,suburb,37.4549117,35.8399848
Başak,başak,basak,Aladağ,Adana,osm_overpass,suburb,36.9833919,35.3637886
Başpınar,başpınar,baspinar,Aladağ,Adana,osm_overpass,suburb,37.521345,35.391477
Bekdeş,bekdeş,bekdes,Aladağ,Adana,osm_overpass,neighbourhood,37.6871784,35.6927615
Bekirli,bekirli,bekirli,Aladağ,Adana,osm_overpass,neighbourhood,37.1348323,36.0216379
Belbaşı,belbaşı,belbasi,Aladağ,Adana,osm_overpass,neighbourhood,38.20773,36.3474475
Belediye Evleri,belediye evleri,belediye evleri,Aladağ,Adana,osm_overpass,suburb,37.048301,35.8058431
Bey,bey,bey,Aladağ,Adana,osm_overpass,suburb,36.9659408,35.3171396
Beyazevler,beyazevler,beyazevler,Aladağ,Adana,osm_overpass,suburb,37.0308167,35.3178467
Beyceli,beyceli,beyceli,Aladağ,Adana,osm_overpass,suburb,37.0497995,35.4241271
Beşocak,beşocak,besocak,Aladağ,Adana,osm_overpass,suburb,36.9796552,35.3267097
Birkent Celiluşağı,birkent celiluşağı,birkent celilusagi,Aladağ,Adana,osm_overpass,quarter,37.2143317,35.9922677
Birkent Eskikent,birkent eskikent,birkent eskikent,Aladağ,Adana,osm_overpass,quarter,37.2082944,36.0255271
Birkent Yenikent,birkent yenikent,birkent yenikent,Aladağ,Adana,osm_overpass,quarter,37.2067221,36.0427577
